Canopus,1.6753045061,-0.9197137806,-10,S
NuPup,1.7355606197,-0.7539110962,-10,N
PiPup,1.9073950093,-0.6474732904,-10,N
7XiPup,2.0476827272,-0.4338850823,-10,N
15RhoPup,2.1273165299,-0.4241924445,-10,N
ZetPup,2.1100354429,-0.6981873499,-10,N
BetPyx,2.2693742891,-0.6162461042,-10,N
AlpPyx,2.2846030809,-0.5792121446,-10,E
ZetPup,2.1100354429,-0.6981873499,-10,S
Gam2Vel,2.1359888676,-0.8261797321,-10,N
DelVel,2.2894499929,-0.9548446401,-10,N
KapVel,2.4526842334,-0.960117757,-10,N
PhiVel,2.6043043042,-0.9523877284,-10,N
MuVel,2.8220608354,-0.862543901,-10,N
LamVel,2.3910848637,-0.7580422926,-10,N
Gam2Vel,2.1359888676,-0.8261797321,-10,E
Procyon,2.0041134421,0.0912372205,-10,S
CanisMinor,1.9510651945,0.1446774789,-10,E
Corvus,3.291635268,-0.4083481062,-10,S
Corvus,3.18577318,-0.3947898484,-10,N
Corvus,3.2105671816,-0.3061653729,-10,N
Corvus,3.2719093464,-0.2882427661,-10,N
Corvus,3.291635268,-0.4083481062,-10,E
Scorpius,4.5972355353,-0.6475825735,-10,S
Scorpius,4.5848227781,-0.6509334628,-10,N
Scorpius,4.6359784492,-0.6812006268,-10,N
Scorpius,4.658216951,-0.7003479543,-10,N
TheSco,4.6134234135,-0.7504535572,-10,N
EtaSco,4.5036167601,-0.7546540209,-10,N
Zet2Sco,4.4269625722,-0.739334721,-10,N
Mu1Sco,4.4151186004,-0.6640511307,-10,N
26EpsSco,4.4077013943,-0.5985189505,-10,N
23TauSco,4.3453578312,-0.4924614308,-10,N
Antares,4.3171059021,-0.4613244868,-10,N
20SigSco,4.2812433862,-0.4466777973,-10,N
8Bet1Sco,4.2125146747,-0.3456693151,-10,N
7DelSco,4.1902454978,-0.3948217553,-10,E
20SigSco,4.2812433862,-0.4466777973,-10,S
5RhoSco,4.1751974811,-0.5098807008,-10,N
20SigSco,4.2812433862,-0.4466777973,-10,E
Sirius,1.767818535,-0.2916993748,-1.43,A0m...
Canopus,1.6753045061,-0.9197137806,-0.62,F0Ib
Arcturus,3.733575419,0.3348810354,-0.1,K2IIIp
RigelKentaurusA,3.8383352503,-1.0617736173,0.01,G2V
Vega,4.8735545737,0.6768909235,0.03,A0Vvar
Rigel,1.3724302919,-0.1431456079,0.18,B8Ia
Procyon,2.0041134421,0.0912372205,0.38,F5IV-V
Achernar,0.4263513326,-0.9989681711,0.45,B3Vp
Betelgeuse,1.5497279608,0.1292771719,0.45,M2Ib
Hadar,3.6818771058,-1.0537072523,0.61,B1III
Capella,1.3818132107,0.8028345135,0.71,M1:comp
Acrux,3.2576527859,-1.1012862797,0.77,B0.5IV
Altair,5.1957493393,0.1547650627,0.77,A7IV-V
Aldebaran,1.2039281503,0.2881496993,0.85,K5III
Spica,3.5133190256,-0.1948004723,0.98,B1V
Antares,4.3171059021,-0.4613244868,1.06,M1Ib+B2.5V
Pollux,2.0303534325,0.4891513921,1.14,K0IIIvar
Fomalhaut,6.011119425,-0.5169985863,1.16,A3V
BetCru,3.3498190771,-1.0417649078,1.25,B0.5III
Deneb,5.4167684826,0.7902909187,1.25,A2Ia
RigelKentaurusB,3.8382256087,-1.0618490909,1.34,K1V
Regulus,2.6545337552,0.2088669572,1.36,B7V
Adhara,1.82659954,-0.5056583496,1.5,B2II
GamCru,3.2775777482,-0.9968023772,1.59,M4III
Shaula,4.5972355353,-0.6475825735,1.62,B1.5IV+...
Bellatrix,1.4186522069,0.1108237738,1.64,B2III
Alnath,1.4237158233,0.4993015839,1.65,B7III
BetCar,2.4138078647,-1.2167994404,1.67,A2IV
Alnilam,1.4670083262,-0.0209774133,1.69,B0Ia
Alnitak,1.4868405199,-0.0339043892,1.74,O9.5IbSB
Alnair,5.7955022372,-0.8196173667,1.74,B7IV
Gam2Vel,2.1359888676,-0.8261797321,1.75,WC8+O9I
Alioth,3.3773308548,0.9766835094,1.76,A0p
Mirphak,0.8915249829,0.8702428562,1.79,F5Ib
KausAustralis,4.8178611391,-0.6001195008,1.79,B9.5III
Dubhe,2.8960711428,1.0777603412,1.81,F7Vcomp
25DelCMa,1.8692102518,-0.4606483756,1.83,F8Ia
Alkaid,3.6108350486,0.8606795003,1.85,B3VSB
EpsCar,2.1926327544,-1.0386373795,1.86,K3III+B2V
TheSco,4.6134234135,-0.7504535572,1.86,F1II
34BetAur,1.5687433405,0.7844807297,1.9,A2V
AlpTrA,4.4011288343,-1.2047595061,1.91,K2IIb-IIIa
Alhena,1.7353446824,0.286223784,1.93,A0IV
Castor,1.9835670256,0.5565617,1.94,A2Vm
AlpPav,5.3478960589,-0.9902104691,1.94,B2IV
Polaris,0.6622852001,1.5579531129,1.97,F7:Ib-IIvSB
2BetCMa,1.6698428447,-0.3133898645,1.98,B1II/III
Alphard,2.4765677988,-0.1511225333,1.99,K3III
Hamal,0.5548900411,0.4095027178,2,K2III
Algieba,2.7051266571,0.3463057923,2.01,K0III
DelVel,2.2894499929,-0.9548446401,2.02,A1V
Diphda,0.1901847674,-0.3139268591,2.04,K0III
Mirach,0.3042543447,0.6217007742,2.05,M0IIIvar
Nunki,4.953529247,-0.4589621522,2.05,B2.5V
5TheCen,3.6943765815,-0.6347534855,2.06,K0IIIb
Alpheratz,0.0365914072,0.5077307316,2.07,B9p
Saiph,1.5173738291,-0.1687663898,2.07,B0.5Iavar
Kochab,3.8864406653,1.2942572139,2.07,K4IIIvar
BetGru,5.9457502489,-0.818290044,2.07,M5III
Rasalhague,4.6030153589,0.2192234044,2.08,A5III
Algol,0.8210414013,0.7148109607,2.09,B8V
57Gam1And,0.5406098506,0.7387952251,2.1,B8V
Denebola,3.0938781391,0.2543352581,2.14,A3Vvar
27GamCas,0.2474368639,1.0597071927,2.15,B0IV:evar
GamCen,3.3227581912,-0.8545112039,2.2,A1IV
ZetPup,2.1100354429,-0.6981873499,2.21,O5IAf
IotCar,2.4307657472,-1.034548472,2.21,A8Ib
Alphekka,4.0783391872,0.466263146,2.22,A0V
LamVel,2.3910848637,-0.7580422926,2.23,K4Ib-II
37GamCyg,5.332977159,0.7026116381,2.23,F8Ib
Shedir,0.1767427459,0.9867639425,2.24,K0II-IIIvar
Etamin,4.6975811593,0.8986517235,2.24,K5III
34DelOri,1.4486523485,-0.0052201646,2.25,O9.5II
Mizar,3.507778717,0.9586293391,2.25,A2V
Caph,0.0400036507,1.0323660598,2.27,F2III-IV
EpsCen,3.5774357429,-0.933164068,2.29,B1III
7DelSco,4.1902454978,-0.3948217553,2.29,B0.2IV
26EpsSco,4.4077013943,-0.5985189505,2.29,K2IIIb
AlpLup,3.8481436639,-0.8270790916,2.3,B1.5III
EtaCen,3.8201222387,-0.7357914663,2.33,B1Vn+A
Izar,3.8614864922,0.4725334756,2.35,A0
Merak,2.8878211084,0.9840575564,2.37,A1V
Enif,5.6905835093,0.1723514017,2.38,K2Ibvar
KapSco,4.6359784492,-0.6812006268,2.39,B1.5III
Ankaa,0.1146730301,-0.7383636688,2.4,K0III...
Phad,3.1146666782,0.9371498811,2.41,A0VSB
Alderamin,5.5788417998,1.0923222587,2.44,A7IV-V
Scheat,6.0378453464,0.4901312952,2.44,M2II-IIIvar
31EtaCMa,1.9377303511,-0.5114359214,2.45,B5Ia
53EpsCyg,5.4376047162,0.5928788059,2.45,K0III
KapVel,2.4526842334,-0.960117757,2.47,B2IV
Markab,6.0421565618,0.2653837331,2.49,B9.5III
Menkar,0.7953450165,0.0713826642,2.54,M2III
13ZetOph,4.350926202,-0.1844315915,2.54,O9.5V
ZetCen,3.6457335431,-0.8253359452,2.55,B2.5IV
68DelLeo,2.9413460901,0.3582119663,2.56,A4V
8Bet1Sco,4.2125146747,-0.3456693151,2.56,B0.5V
Arneb,1.4518095156,-0.3110576804,2.58,F0Ib
DelCen,3.1780659343,-0.8852730589,2.58,B2IVne
4GamCrv,3.2105671816,-0.3061653729,2.58,B8III
38ZetSgr,4.985585616,-0.5215063752,2.6,A3IV
27BetLib,4.0012016208,-0.1637619214,2.61,B8V
6BetAri,0.5002076574,0.3631733378,2.64,A5V...
Unukalhai,4.1201402792,0.1121464751,2.64,K2III
AlpCol,1.4819983334,-0.5947043517,2.65,B7IV
37TheAur,1.5695773705,0.6494852571,2.65,A0pSi
9BetCrv,3.291635268,-0.4083481062,2.65,G5II
37DelCas,0.3744169786,1.0513061168,2.66,A5VvSB
8EtaBoo,3.6420015431,0.3211159282,2.68,G0IV
BetLup,3.9205879344,-0.7528279981,2.68,B2III
3IotAur,1.2958790592,0.5788582624,2.69,K3IIvar
MuVel,2.8220608354,-0.862543901,2.69,G5IIISB
AlpMus,3.3038416382,-1.2066426911,2.69,B2IV-V
34UpsSco,4.5848227781,-0.6509334628,2.7,B2IV
PiPup,1.9073950093,-0.6474732904,2.71,K3Ib
19DelSgr,4.8039912484,-0.5205974924,2.72,K3III
Tarazed,5.1760335259,0.185236483,2.72,K3II
1DelOph,4.2513868913,-0.0644720371,2.73,M1III
TheCar,2.8054296366,-1.1238956851,2.74,B0Vp
14EtaDra,4.293474096,1.0736231514,2.74,G8III
44IotOri,1.4636026486,-0.1031472107,2.75,O9III
IotCen,3.4932812644,-0.6407466903,2.75,A2V
9Alp2Lib,3.8871956581,-0.27997892,2.75,A3IV
60BetOph,4.6402761139,0.0797077355,2.76,K2III
27BetHer,4.3206543127,0.3750651214,2.78,G8III
Rasalgethi,4.5145022713,0.2511572975,2.78,M5IIvar
67BetEri,1.3432514935,-0.0887720328,2.79,A3IIIvar
DelCru,3.2076793223,-1.0253617682,2.79,B2IV
23BetDra,4.5833783785,0.912830918,2.79,G2II
BetHyi,0.1119339305,-1.3483547264,2.8,G2IV
GamLup,4.0803223804,-0.7184943694,2.8,B2IV
Nihal,1.4322409146,-0.362316951,2.81,G5II
23TauSco,4.3453578312,-0.4924614308,2.82,B0V
22LamSgr,4.8344361819,-0.4436844657,2.82,K1IIIb
Algenib,0.0577522145,0.2650040903,2.83,B2IV
15RhoPup,2.1273165299,-0.4241924445,2.83,F2mF5IIp
44ZetPer,1.0215934585,0.5564748055,2.84,B1Ib
BetTrA,4.1676141267,-1.1070579765,2.84,F2III
BetAra,4.5609814618,-0.9691782613,2.84,K3Ib-II
AlpAra,4.5895266429,-0.8705000964,2.84,B2Vne
Alcyone,0.9925879556,0.4207158387,2.85,B7III
Vindemiatrix,3.4129012156,0.1912724105,2.85,G8IIIvar
66AlpGem,1.9836481571,0.5566183593,2.85,Am
AlpHyi,0.5182080225,-1.0745979017,2.86,F0V
18DelCyg,5.1704246153,0.7876791682,2.86,B9.5III
13MuGem,1.6709775801,0.3929408145,2.87,M3IIIvar
GamTrA,4.0095077142,-1.1986828317,2.87,A1V
49DelCap,5.7030295203,-0.2814616729,2.87,A5mF2(IV)
AlpTuc,5.8403209677,-1.0517265909,2.87,K3III
The1Eri,0.7778143901,-0.7034503283,2.88,A4III+...
41PiSgr,5.0167914014,-0.3669297376,2.88,F2II/III
3BetCMi,1.9510651945,0.1446774789,2.89,B8Vvar
12Alp2CVn,3.3860726243,0.6687795593,2.89,A0spe...
6PiSco,4.1837811578,-0.4557760279,2.89,B1V+B2V
45EpsPer,1.0378324871,0.6983110011,2.9,B0.5V
20SigSco,4.2812433862,-0.4466777973,2.9,B1III
22BetAqr,5.6354878517,-0.0972350141,2.9,G0Ib
23GamPer,0.8063268594,0.933863729,2.91,G8III+...
40ZetHer,4.3689574228,0.5515569771,2.91,F9IV
UpsCar,2.5617170156,-1.1357209804,2.92,A9
44EtaPeg,5.9472187759,0.5274613404,2.93,G2II-III..
TauPup,1.7886815455,-0.8833879242,2.94,K0III...
7DelCrv,3.2719093464,-0.2882427661,2.94,B9.5V
34AlpAqr,5.7848229218,-0.0055820265,2.95,G2Ib
34GamEri,1.0385967187,-0.2357633464,2.97,M1IIIbCa-1
123ZetTau,1.4732530924,0.3690078601,2.97,B4IIIp
17EpsLeo,2.5562603021,0.414939427,2.97,G0II
10Gam2Sgr,4.7377344048,-0.5309928642,2.98,K0III
46GamHya,3.4859499966,-0.4044174398,2.99,G8III
Iot1Sco,4.658216951,-0.7003479543,2.99,F3Ia
17ZetAql,4.9977948504,0.2419673831,2.99,A0Vn
4BetTri,0.5652336695,0.6106451878,3,A5III
52PsiUMa,2.9219618325,0.7766462687,3,K1III
13GamUMi,4.0174388115,1.253739345,3,A3II-III
Mu1Sco,4.4151186004,-0.6640511307,3,B1.5IV+B
GamGru,5.7330905486,-0.652139184,3,B8III
39DelPer,0.9726925059,0.8340518919,3.01,B5IIISB
1ZetCMa,1.6594290279,-0.5247049052,3.02,B2.5V
24Omi2CMa,1.8457928437,-0.4159695795,3.02,B3Ia
2EpsCrv,3.18577318,-0.3947898484,3.02,K2III
35EtaOph,4.4958708781,-0.2744556005,3.02,A2.5Va
7EpsAur,1.3175878859,0.7648611179,3.03,F0Ia
BetMus,3.3435323104,-1.1887104884,3.04,B2V
27GamBoo,3.8051637652,0.6685986962,3.04,A7IIIvar
6Bet1Cyg,5.1082358541,0.4879887321,3.05,K3II+...
9BetCap,5.3276645504,-0.2579841188,3.05,A5:n
27EpsGem,1.7624865506,0.438621405,3.06,A3mA6-A9
34MuUMa,2.7154271174,0.7243017523,3.06,M0IIISB
57DelDra,5.0289593448,1.180912757,3.07,G9III
EtaSgr,4.7893092167,-0.6416053912,3.1,M2III
16ZetHya,2.336100285,0.1037690341,3.11,G8III-IV
NuHya,2.8345188473,-0.2826409243,3.11,K0/K1III
LamCen,3.0359222944,-1.0999034382,3.11,B9II:
AlpInd,5.3999025099,-0.8253952174,3.11,K0III
BetCol,1.5313484526,-0.6242919209,3.12,K1.5III
ZetAra,4.4445704424,-0.9772108095,3.12,K5III
KapCen,3.923332825,-0.7348559065,3.13,B2IV
9IotUMa,2.3527648266,0.8384971802,3.14,A7IV
40AlpLyn,2.4480758049,0.6002628154,3.14,M0IIIvar
65DelHer,4.5161793687,0.4335325848,3.14,A3IVvSB
67PiHer,4.5162470072,0.6424409543,3.16,K3IIvar
NuPup,1.7355606197,-0.7539110962,3.17,B8IIISB
25TheUMa,2.4996260286,0.9019617591,3.17,F6IV
22ZetDra,4.4889304794,1.1469367782,3.17,B6III
27PhiSgr,4.9116003498,-0.4710779682,3.17,B8.5III
10EtaAur,1.3374217368,0.7196802468,3.18,B3V
1Pi3Ori,1.2646465388,0.1214966879,3.19,F6V
2EpsLep,1.3328244715,-0.3904451064,3.19,K4III
AlpCir,3.8506824791,-1.1340201691,3.19,F1Vp
27KapOph,4.4404281818,0.1636255993,3.19,K2IIIvar
64ZetCyg,5.5542326574,0.5275620916,3.21,G8IISB
35GamCep,6.1930813773,1.3549334256,3.21,K1IV
DelLup,4.0202449501,-0.7094320001,3.22,B1.5IV
8BetCep,5.6228381687,1.2315164469,3.23,B2IIIvSB
2EpsOph,4.2687292498,-0.0819014617,3.24,G8III
65TheAql,5.2853125618,-0.0143374555,3.24,B9.5III
SigPup,1.9601413447,-0.7557605754,3.25,K5IIISB
20SigLib,3.9447540416,-0.4412516286,3.25,M3/M4III
14GamLyr,4.9695795758,0.5705403329,3.25,B9III
GamHyi,0.991509295,-1.295719216,3.26,M2III
58EtaSer,4.8053947078,-0.0505643177,3.26,K0III-IV
31DelAnd,0.171594762,0.5386300012,3.27,K3III...
AlpPic,1.7810748386,-1.0810914941,3.27,A7IV
49PiHya,3.6929908119,-0.4656890797,3.27,K2III
42TheOph,4.5466251767,-0.4363233764,3.27,B2IV
76DelAqr,5.9980449934,-0.2761243511,3.27,A3V
5MuLep,1.3654200216,-0.2828380929,3.29,B9IV:HgMn
OmeCar,2.6779371309,-1.2223923347,3.29,B8III
